intern_id,name,age,gpa,skills,interest,location,preferred_duration_months,prior_experience_years,skills_processed,gpa_scaled,age_scaled,experience_scaled,duration_scaled
1,Arjun Sharma,24,8.98,"Java, Cybersecurity, Web Dev",ai,Mumbai,3,3,java  cybersecurity  web dev,0.9789990130247295,1.1388446217577262,1.2987507733009414,-0.27579605692481174
2,Aditya Nair,22,7.98,"Python, Cybersecurity, Web Dev, ML",web dev,Delhi,2,2,python  cybersecurity  web dev  ml,0.28775221646986093,0.24105619309574222,0.415246845885335,-0.8456226208190508
3,Aarav Iyer,24,5.29,"Cybersecurity, Web Dev",cybersecurity,Coimbatore,5,3,cybersecurity  web dev,-1.5717016662627357,1.1388446217577262,1.2987507733009414,0.8638570708636665
4,Riya Nair,25,8.54,"Python, Java, ML",data science,Madurai,6,0,python  java  ml,0.6748504225405865,1.587738836088718,-1.3517610089458778,1.4336836347579056
5,Reyansh Kumar,19,8.61,"Python, Cybersecurity, ML",ai,Madurai,6,1,python  cybersecurity  ml,0.7232376982994274,-1.1056264498972335,-0.4682570815302714,1.4336836347579056
6,Saanvi Nair,19,5.91,"Python, ML, Cybersecurity",cybersecurity,Chennai,5,0,python  ml  cybersecurity,-1.143128652398717,-1.1056264498972335,-1.3517610089458778,0.8638570708636665
8,Krishna Bhat,18,6.46,"Python, Java, Cybersecurity",cybersecurity,Madurai,3,2,python  java  cybersecurity,-0.7629429142935394,-1.5545206642282254,0.415246845885335,-0.27579605692481174
10,Ananya Chopra,24,7.28,Web Dev,web dev,Delhi,6,2,web dev,-0.19612054111854713,1.1388446217577262,0.415246845885335,1.4336836347579056
11,Krishna Reddy,21,7.57,"ML, Data Analysis, Java, Web Dev",data science,Hyderabad,1,2,ml  data analysis  java  web dev,0.004341029882364771,-0.2078380212352497,0.415246845885335,-1.41544918471329
12,Vivaan Kumar,22,8.04,Data Analysis,cybersecurity,Madurai,5,0,data analysis,0.3292270242631522,0.24105619309574222,-1.3517610089458778,0.8638570708636665
13,Aditya Kumar,24,5.07,"Java, ML, Web Dev",cybersecurity,Coimbatore,1,3,java  ml  web dev,-1.7237759615048065,1.1388446217577262,1.2987507733009414,-1.41544918471329
14,Ananya Reddy,23,9.04,"Cybersecurity, Web Dev",data science,Mumbai,1,1,cybersecurity  web dev,1.0204738208180206,0.6899504074267342,-0.4682570815302714,-1.41544918471329
15,Aarohi Nair,22,6.15,"Data Analysis, Java, Web Dev, Cybersecurity",cybersecurity,Chennai,4,2,data analysis  java  web dev  cybersecurity,-0.9772294212255485,0.24105619309574222,0.415246845885335,0.2940305069694274
16,Vivaan Joshi,21,5.61,Java,web dev,Hyderabad,5,3,java,-1.3505026913651774,-0.2078380212352497,1.2987507733009414,0.8638570708636665
17,Aarohi Nair,24,5.87,ML,cybersecurity,Delhi,1,3,ml,-1.170778524260912,1.1388446217577262,1.2987507733009414,-1.41544918471329
18,Riya Iyer,19,8.31,"Web Dev, Python, Cybersecurity",data science,Hyderabad,2,1,web dev  python  cybersecurity,0.5158636593329676,-1.1056264498972335,-0.4682570815302714,-0.8456226208190508
19,Aadhya Verma,23,6.04,"ML, Java, Cybersecurity",ai,Mumbai,4,1,ml  java  cybersecurity,-1.053266568846584,0.6899504074267342,-0.4682570815302714,0.2940305069694274
21,Ira Nair,19,6.98,"Java, Data Analysis",web dev,Delhi,4,1,java  data analysis,-0.40349458008500755,-1.1056264498972335,-0.4682570815302714,0.2940305069694274
23,Diya Kumar,21,5.23,Java,ai,Chennai,5,3,java,-1.6131764740560275,-0.2078380212352497,1.2987507733009414,0.8638570708636665
24,Kavya Joshi,22,6.36,Web Dev,web dev,Coimbatore,5,3,web dev,-0.8320675939490261,0.24105619309574222,1.2987507733009414,0.8638570708636665
26,Ishaan Chopra,22,5.7,"ML, Data Analysis, Cybersecurity",cybersecurity,Chennai,5,0,ml  data analysis  cybersecurity,-1.2882904796752395,0.24105619309574222,-1.3517610089458778,0.8638570708636665
27,Krishna Kumar,18,9.93,Data Analysis,ai,Delhi,1,3,data analysis,1.635683469751854,-1.5545206642282254,1.2987507733009414,-1.41544918471329
28,Krishna Nair,25,5.03,"Python, Cybersecurity",ai,Coimbatore,3,2,python  cybersecurity,-1.7514258333670012,1.587738836088718,0.415246845885335,-0.27579605692481174
29,Aditya Sharma,18,8.56,"Python, Web Dev, Java",data science,Mumbai,3,0,python  web dev  java,0.6886753584716847,-1.5545206642282254,-1.3517610089458778,-0.27579605692481174
30,Kavya Kumar,20,5.37,"Cybersecurity, Web Dev",cybersecurity,Coimbatore,2,0,cybersecurity  web dev,-1.516401922538346,-0.6567322355662416,-1.3517610089458778,-0.8456226208190508
31,Kavya Bhat,21,9.32,"Java, Python, Web Dev, Data Analysis",cybersecurity,Madurai,4,1,java  python  web dev  data analysis,1.2140229238533846,-0.2078380212352497,-0.4682570815302714,0.2940305069694274
33,Aadhya Bhat,22,8.65,Java,web dev,Coimbatore,6,2,java,0.7508875701616228,0.24105619309574222,0.415246845885335,1.4336836347579056
35,Arjun Sharma,23,9.24,Python,web dev,Coimbatore,5,1,python,1.158723180128995,0.6899504074267342,-0.4682570815302714,0.8638570708636665
36,Aarohi Gupta,24,8.85,"Java, ML, Python, Web Dev",cybersecurity,Chennai,3,0,java  ml  python  web dev,0.889136929472596,1.1388446217577262,-1.3517610089458778,-0.27579605692481174
37,Meera Patel,24,7.14,"Data Analysis, ML, Web Dev, Python",web dev,Madurai,2,3,data analysis  ml  web dev  python,-0.2928950926362291,1.1388446217577262,1.2987507733009414,-0.8456226208190508
38,Ishaan Sharma,22,6.01,Cybersecurity,data science,Chennai,1,3,cybersecurity,-1.0740039727432305,0.24105619309574222,1.2987507733009414,-1.41544918471329
39,Vivaan Nair,22,7.54,"Web Dev, Cybersecurity, Java, Python",ai,Hyderabad,6,0,web dev  cybersecurity  java  python,-0.016396374014281456,0.24105619309574222,-1.3517610089458778,1.4336836347579056
40,Sai Verma,24,8.02,Cybersecurity,web dev,Bangalore,3,0,cybersecurity,0.3154020883320551,1.1388446217577262,-1.3517610089458778,-0.27579605692481174
42,Aditya Mehta,23,9.4,"Data Analysis, Java, Cybersecurity",web dev,Madurai,2,0,data analysis  java  cybersecurity,1.2693226675777742,0.6899504074267342,-1.3517610089458778,-0.8456226208190508
44,Arjun Verma,21,6.09,"Web Dev, Data Analysis",web dev,Madurai,4,1,web dev  data analysis,-1.0187042290188408,-0.2078380212352497,-0.4682570815302714,0.2940305069694274
45,Aditya Kumar,23,7.7,"Data Analysis, Java, ML",data science,Delhi,2,2,data analysis  java  ml,0.0942031134344976,0.6899504074267342,0.415246845885335,-0.8456226208190508
46,Ira Sharma,21,6.78,"Cybersecurity, Python, Java",data science,Chennai,6,0,cybersecurity  python  java,-0.5417439393959813,-0.2078380212352497,-1.3517610089458778,1.4336836347579056
47,Arjun Chopra,18,6.14,"Data Analysis, Cybersecurity",web dev,Mumbai,6,0,data analysis  cybersecurity,-0.9841418891910976,-1.5545206642282254,-1.3517610089458778,1.4336836347579056
48,Aadhya Kumar,21,6.76,"Web Dev, ML, Data Analysis",ai,Chennai,3,2,web dev  ml  data analysis,-0.5555688753270791,-0.2078380212352497,0.415246845885335,-0.27579605692481174
49,Aarohi Joshi,23,7.55,"Python, Cybersecurity, Data Analysis",web dev,Mumbai,1,1,python  cybersecurity  data analysis,-0.009483906048732917,0.6899504074267342,-0.4682570815302714,-1.41544918471329
